Building_ID,Setting,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F,VUS-Recall,VUS-Precision,VUS-F,Accuracy,Precision,Recall,F-score,AUC-ROC,PR-AUC
1,anomaly_detection_LEAD_iTransformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.5652173913043478,0.5652173913043478,0.4739583333333329,0.4666666666666667,0.4802236770321872,0.42231231702477995,0.9753622598398931,0.5894117361731039,0.9927562477363274,0.9285714285714286,0.40625,0.5652173913043478,0.7160360938072554,0.2640320195080775
41,anomaly_detection_LEAD_iTransformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.32857142857142857,0.32857142857142857,0.23620025673940898,0.1702127659574468,0.4664721542971237,0.5982497440385305,0.27817184577635906,0.3796774942716856,0.9659543643607389,0.23711340206185566,0.5348837209302325,0.32857142857142857,0.670970446805962,0.0330339773422671
55,anomaly_detection_LEAD_iTransformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.8872180451127819,0.8872180451127819,0.8692449355432775,0.6666666666666666,0.8815617083625896,0.8386630181410141,0.9667596017160904,0.8981664092569621,0.9945671858022456,0.9516129032258065,0.8309859154929577,0.8872180451127819,0.7212419498403058,0.19750828272662516
69,anomaly_detection_LEAD_iTransformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.13377926421404682,0.13377926421404682,0.13407821229050265,0.05078138969352358,0.7092879671030086,0.9923838583415101,0.37180072644432915,0.5204309543318862,0.7185802245563202,0.07343941248470012,0.75,0.13377926421404682,0.43318258112644537,0.02320239090024033
79,anomaly_detection_LEAD_iTransformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.5135135135135135,0.5135135135135135,0.6666666666666662,0.6666666666666666,0.6666666666666662,0.3454545454545444,1.0,0.5135135135135147,0.9869612459253894,1.0,0.34545454545454546,0.5135135135135135,0.7503930659141302,0.20804724016738083
82,anomaly_detection_LEAD_iTransformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.1069182389937107,0.1069182389937107,0.10691823899371058,0.017570741548268282,0.7172901739430863,1.0,0.2508558981768315,0.388451528356572,0.691416153567548,0.05647840531561462,1.0,0.1069182389937107,0.44558280876926415,0.016277199884092333
91,anomaly_detection_LEAD_iTransformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.2222222222222222,0.2222222222222222,0.13793103448275842,0.13333333333333336,0.257732946667225,0.13333333333333308,0.6666666666666681,0.22222222222222165,0.9949293734154292,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.8142753095411508,0.07329303439120835
107,anomaly_detection_LEAD_iTransformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.8295165394402035,0.8295165394402035,0.7423854255621969,0.4649660474297102,0.830363028543513,0.9670152081940943,0.8406728840623302,0.8993883919936703,0.9757334299166969,0.7581395348837209,0.9157303370786517,0.8295165394402035,0.8539086594718274,0.2910214679566868
108,anomaly_detection_LEAD_iTransformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.821656050955414,0.821656050955414,0.705882352941176,0.7058823529411766,0.705882352941176,0.697297297297297,1.0,0.8216560509554133,0.9797174936617168,1.0,0.6972972972972973,0.821656050955414,0.8431551116333726,0.6789046327773309
111,anomaly_detection_LEAD_iTransformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.8933717579250721,0.8933717579250721,0.8933717579250715,0.5379759192971038,0.9738886606367138,1.0,0.9211727441887193,0.958359460260123,0.9865990583122057,0.8072916666666666,1.0,0.8933717579250721,0.8547248285594039,0.6857156993624905
