Building_ID,Setting,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F,VUS-Recall,VUS-Precision,VUS-F,Accuracy,Precision,Recall,F-score,AUC-ROC,PR-AUC
1,anomaly_detection_LEAD_Crossformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.20408163265306123,0.20408163265306123,0.18633540372670765,0.17647058823529416,0.42996730919171683,0.3790567849751731,0.8212618452399013,0.5185454119307429,0.9858746830858385,0.29411764705882354,0.15625,0.20408163265306123,0.6174995419567606,0.07498864731026997
41,anomaly_detection_LEAD_Crossformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.15306122448979592,0.15306122448979592,0.10695187165775351,0.04628099173553719,0.509378524193094,0.7120081656123471,0.2820045004409585,0.401006019446879,0.9398768562115176,0.09803921568627451,0.3488372093023256,0.15306122448979592,0.4438369526156374,0.013444545499177587
69,anomaly_detection_LEAD_Crossformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.2289156626506024,0.2289156626506024,0.2356067316209031,0.09271523178807947,0.6677786664167906,0.8119672952825642,0.3651762208058854,0.5005771126544823,0.9072799710249909,0.15079365079365079,0.475,0.2289156626506024,0.620953002610966,0.03931015418611601
82,anomaly_detection_LEAD_Crossformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.37398373983739835,0.37398373983739835,0.3262411347517726,0.06950672645739911,0.5112076468783531,0.659715869453348,0.543109496152705,0.5955310074464971,0.9721115537848606,0.3194444444444444,0.45098039215686275,0.37398373983739835,0.7597134794877362,0.06733505109923539
91,anomaly_detection_LEAD_Crossformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.5833333333333334,0.5833333333333334,0.5147058823529407,0.5,0.6865748430105548,0.5107771022649261,0.8768620031434471,0.645515494440414,0.9963781238681637,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.6464190337460549,0.39614985565256144
107,anomaly_detection_LEAD_Crossformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.8943089430894309,0.8943089430894309,0.732868020304568,0.6666666666666667,0.7612218883495115,0.9269662921348333,0.863874345549735,0.8943089430894305,0.9858746830858385,0.8638743455497382,0.9269662921348315,0.8943089430894309,0.9289259505757177,0.5682686936542565
108,anomaly_detection_LEAD_Crossformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.7938461538461539,0.7938461538461539,0.6852589641434257,0.5714285714285715,0.6996770801558506,0.7009374443605161,0.9288724142157057,0.7989633142873714,0.9757334299166969,0.9214285714285714,0.6972972972972973,0.7938461538461539,0.6961998489172402,0.5742729189914673
111,anomaly_detection_LEAD_Crossformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.8060836501901141,0.8060836501901141,0.9013605442176866,0.7692307692307692,0.9047380181494818,0.6838709677419378,0.9814814814814843,0.8060836501901153,0.9815284317276349,0.9814814814814815,0.6838709677419355,0.8060836501901141,0.735144703290174,0.6252101602406487
117,anomaly_detection_LEAD_Crossformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.8461538461538461,0.8461538461538461,0.7772325809617266,0.5000000000000001,0.8399237616004636,0.961165048543688,0.7557251908396969,0.8461538461538428,0.9869612459253894,0.7557251908396947,0.9611650485436893,0.8461538461538461,0.930800587345767,0.4519126362112029
119,anomaly_detection_LEAD_Crossformer_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.06451612903225806,0.06451612903225806,0.0652173913043476,0.11764705882352941,0.34915610620588794,0.6161279443381771,0.13640924913662744,0.22299847242915266,0.9369793553060485,0.0375,0.23076923076923078,0.06451612903225806,0.5047531992687386,0.009475985992835334
