Building_ID,Setting,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F,VUS-Recall,VUS-Precision,VUS-F,Accuracy,Precision,Recall,F-score,AUC-ROC,PR-AUC
1,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.56,0.56,0.40384615384615336,0.4000000000000001,0.4604391469943599,0.4951785276495852,0.9167746308759849,0.6429333688400405,0.9920318725099602,0.7777777777777778,0.4375,0.56,0.7605578966654453,0.204552049637676
41,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.3333333333333333,0.3333333333333333,0.17499999999999963,0.12903225806451615,0.3518132360798217,0.34295568840286783,0.3635197614554411,0.35293572696515596,0.9797174936617168,0.34146341463414637,0.32558139534883723,0.3333333333333333,0.6026233379536936,0.028695229248112387
55,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9594594594594594,0.9594594594594594,0.9594594594594589,0.7692307692307693,0.9790832399624166,1.0,0.9220779220779226,0.9594594594594554,0.9978268743208982,0.922077922077922,1.0,0.9594594594594594,0.7013508560657626,0.28974448104918815
69,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.14794520547945206,0.14794520547945206,0.15202702702702672,0.06447234475738038,0.6179045035250975,0.7896159966889578,0.3658064158035501,0.494583952097209,0.8873596522998913,0.09473684210526316,0.3375,0.14794520547945206,0.41226221559119736,0.023518959348727372
79,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.5,0.5,0.644067796610169,0.607843137254902,0.6626674605537357,0.3601582919777066,0.9517348849763841,0.5225656348593397,0.9862368706990221,0.9047619047619048,0.34545454545454546,0.5,0.7443391789289794,0.17892103617109817
82,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.2549019607843137,0.2549019607843137,0.25844930417495005,0.052504611891585076,0.7720654595188452,0.979122484625489,0.3626735766306957,0.519940725994771,0.9174212241941325,0.15294117647058825,0.7647058823529411,0.2549019607843137,0.5723970769119455,0.030042547947906534
91,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.42857142857142855,0.42857142857142855,0.36923076923076875,0.380952380952381,0.6809156975065004,0.6251859278464248,0.8485401186559479,0.7195387012524628,0.9942049981890619,0.46153846153846156,0.4,0.42857142857142855,0.9052439912600145,0.29797824742288664
107,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.7186147186147186,0.7186147186147186,0.6818804198995887,0.3090431476133115,0.8644426634766202,0.995746564626058,0.7322193095205104,0.8430063126339582,0.9529156102861283,0.5845070422535211,0.9325842696629213,0.7186147186147186,0.7566130316198828,0.13287758391708593
108,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.8138801261829653,0.8138801261829653,0.7001356852103116,0.6666666666666667,0.7033541021527435,0.697297297297297,0.9772727272727277,0.8138801261829653,0.9786309308221659,0.9772727272727273,0.6972972972972973,0.8138801261829653,0.7755854456941413,0.5946918294594896
111,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9904153354632588,0.9904153354632588,0.9904153354632583,0.8571428571428573,0.9980837365850279,1.0,0.9974953681500844,0.9987419606751933,0.9989134371604491,0.9810126582278481,1.0,0.9904153354632588,0.9752853217141583,0.8586505558540232
112,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.8732394366197183,0.8732394366197183,0.6953271028037378,0.5818181818181819,0.7408097149129977,0.9833497336566287,0.9471552180004285,0.9645645436964381,0.9934806229626947,0.8266666666666667,0.9253731343283582,0.8732394366197183,0.9538665248368403,0.4466570905264426
117,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9801980198019802,0.9801980198019802,0.8888888888888884,0.888888888888889,0.8888888888888884,0.961165048543688,1.0,0.9801980198019775,0.9985512495472655,1.0,0.9611650485436893,0.9801980198019802,0.9490857422545603,0.7951599206775254
118,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.968609865470852,0.968609865470852,0.7999999999999995,0.8,0.7999999999999995,0.9391304347826113,1.0,0.9686098654708528,0.9974646867077146,1.0,0.9391304347826087,0.968609865470852,0.9451148575372177,0.7608637899488894
119,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.3508771929824561,0.3508771929824561,0.3488372093023252,0.29268292682926833,0.6621736645670657,0.859173303969993,0.27625640676265795,0.41778690163953597,0.9731981166244115,0.22727272727272727,0.7692307692307693,0.3508771929824561,0.7355927436366194,0.08473864978360532
121,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.8730650154798761,0.8730650154798761,0.8410737111205789,0.8016889416198486,0.863535517896522,0.8730447563177041,0.9910660601465514,0.9283132731955297,0.9851503078594712,0.9155844155844156,0.834319526627219,0.8730650154798761,0.8668730367448315,0.6778509994386582
136,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.01875,0.01875,0.01863354037267076,0.017467248908296942,0.7300137696563961,0.9744681753247642,0.07286382512566257,0.13427543535306433,0.7725461789206809,0.009538950715421303,0.5454545454545454,0.01875,0.6612561983471074,0.005419122068442831
137,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.926829268292683,0.926829268292683,0.7739307535641543,0.5714285714285715,0.7902347605265195,0.9480590716170894,0.9541366607829889,0.9510417073417623,0.9945671858022456,0.9223300970873787,0.9313725490196079,0.926829268292683,0.9698471340397761,0.8434751486554615
139,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.671280276816609,0.671280276816609,0.6795096322241675,0.37524950099800397,0.8239380252741197,0.6714515497272534,0.7261085343221202,0.6976683485868292,0.9655921767475553,0.6928571428571428,0.6510067114093959,0.671280276816609,0.6046113960348213,0.2609904212634715
141,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.8949152542372881,0.8949152542372881,0.7639520463001235,0.42424242424242425,0.827782990600813,0.9949919020557468,0.9356970279427486,0.9642102605991928,0.977544367982615,0.8407643312101911,0.9565217391304348,0.8949152542372881,0.7657393637185431,0.456253970353818
144,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9078498293515358,0.9078498293515358,0.9078498293515354,0.5354977508312146,0.979140064111972,1.0,0.9591488452777714,0.9785663253815566,0.990220934444042,0.83125,1.0,0.9078498293515358,0.9467103832640963,0.7173192519903847
147,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9649805447470817,0.9649805447470817,0.8483466362599766,0.7948813609908969,0.8550444971018778,0.9624877603750014,0.9934362074427426,0.9777163756970786,0.9967403114813473,0.9763779527559056,0.9538461538461539,0.9649805447470817,0.9152939800602286,0.7476492385265995
148,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9584664536741214,0.9584664536741214,0.5999999999999995,0.6000000000000001,0.5999999999999995,0.9202453987730055,1.0,0.9584664536741232,0.9952915610286128,1.0,0.9202453987730062,0.9584664536741214,0.9602195176091094,0.8922972321851848
149,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,1.0,1.0,0.9999999999999996,1.0,0.9999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8616146966400774,0.3382212218592168
159,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.956140350877193,0.956140350877193,0.9404152062550547,0.7933884297520661,0.960500979961927,0.9861334453242059,0.9643352594942209,0.9751033678366058,0.9963781238681637,0.9396551724137931,0.9732142857142857,0.956140350877193,0.7762868737528987,0.3870225765264706
171,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.47368421052631576,0.47368421052631576,0.24999999999999975,0.25,0.24999999999999975,0.3103448275862065,1.0,0.47368421052631515,0.9855124954726548,1.0,0.3103448275862069,0.47368421052631576,0.5369767946215571,0.06046518267427951
173,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,1.0,1.0,0.9999999999999996,1.0000000000000002,0.9999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6837513631406761,0.3274085678245665
174,anomaly_detection_LEAD_TimesNet_LEAD_ftS_sl168_ll48_pl0_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,1.0,1.0,0.9999999999999996,1.0000000000000002,0.9999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8242457288258814,0.3120202133772102
